year,country,life_ladder,log_gdp_per_capita,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect,latitude,longitude,tavg,tmin,tmax,wdir,wspd,pres
2018,Ireland,6.962,11.332,0.938,72.3,0.861,0.144,0.362,0.811,0.213,53.349805,-6.26031,9.995342466,6.577534247,14.39369863,188.6318681,18.91868132,1013.135165
2018,Israel,6.927,10.585,0.91,73.3,0.725,0.055,0.77,0.663,0.282,32.0853,34.781768,21.61561644,16.67808219,26.78,195.4773869,11.35357143,1012.909657
2018,Italy,6.517,10.65,0.913,73.6,0.65,-0.021,0.888,0.649,0.403,41.902784,12.496366,17.1309589,12.62335165,22.09390582,121.4511041,9.94265928,1014.279882
2018,Japan,5.794,10.623,0.886,75,0.773,-0.261,0.687,0.703,0.185,35.709026,139.731992,16.44109589,12.8401662,20.79201102,184.5028409,10.60649718,1014.231356
2018,Kazakhstan,6.008,10.148,0.937,64.6,0.84,-0.098,0.824,0.693,0.162,51.160523,71.470356,3.186027397,-1.250696379,9.220994475,188.525,12.01943662,1021.991463
2018,Kyrgyzstan,5.297,8.543,0.898,64.1,0.945,0.267,0.907,0.763,0.203,42.874621,74.569762,9.96,3.92238806,16.32537313,157.9113924,11.03562874,0
2018,Laos,4.859,8.935,0.705,58.7,0.907,0.141,0.634,0.852,0.332,17.975706,102.633104,27.46657534,23.42121212,32.6516129,177.4329268,5.076829268,1009.205488
2018,Latvia,5.901,10.307,0.913,66.8,0.608,-0.212,0.799,0.585,0.192,56.949649,24.105186,10.17804878,7.443292683,13.21829268,178.7682927,11.06646341,1017.355488
2018,Lebanon,5.167,9.656,0.829,67.1,0.607,-0.066,0.907,0.464,0.271,33.888629,35.495479,22.16383562,19.83835616,25.17440273,162.8309179,12.44349315,1013.910487
2018,Libya,5.494,9.617,0.824,62.3,0.781,-0.101,0.646,0.706,0.399,32.887209,13.191338,23.11097561,19.77682927,27.01280488,185.6646341,11.71402439,1016.955488
2018,Lithuania,6.309,10.474,0.929,67.3,0.699,-0.237,0.852,0.517,0.214,54.687156,25.279651,8.522191781,4.570054945,12.86493151,183.8707483,12.10027548,1016.840129
2018,Luxembourg,7.243,11.645,0.902,72.6,0.884,-0.022,0.385,0.75,0.202,49.611621,6.131935,11.77643836,5.420821918,17.5569863,152.8333333,15.22066116,1016.20854
2018,Maldives,5.198,9.826,0.913,70.6,0.855,0.024,0,0,0,4.175496,73.509347,28.52246575,26.00522876,30.59006623,218.8333333,15.20796813,1009.923529
2018,Mali,4.416,7.733,0.692,51.7,0.737,-0.034,0.793,0.77,0.37,12.639232,-8.002889,29.89369863,23.25852273,36.66335227,140.3414634,10.2360119,1012.533882
2018,Malta,6.91,10.67,0.932,72.2,0.927,0.179,0.595,0.721,0.296,35.898909,14.514553,19.72054795,16.48389831,23.52837466,227.2134831,15.8766323,1015.279758
2018,Mauritania,4.314,8.526,0.802,57,0.467,-0.112,0.711,0.663,0.276,18.07353,-15.958237,26.39345238,22.50963855,31.88203593,184.6341463,15.35304878,1012.093293
2018,Mauritius,5.882,10.008,0.909,66.4,0.867,-0.073,0.785,0.774,0.158,-20.166896,57.502332,24.88465753,21.78245125,27.95264624,106.6867925,16.12514793,1016.981169
2018,Moldova,5.682,9.423,0.892,65,0.824,-0.084,0.929,0.582,0.27,47.010453,28.86381,11.62794521,6.632692308,16.45424658,192.2478632,12.08619718,1019.509756
2018,Montenegro,5.65,9.934,0.856,68.5,0.626,-0.051,0.769,0.59,0.355,42.43042,19.259364,18.10931507,12.76696697,23.28446602,126.8353659,7.534146341,1017.151829
2018,Morocco,4.897,8.914,0.554,65.9,0.773,-0.234,0.843,0.638,0.416,33.97159,-6.849813,17.06219178,12.42063037,21.65467422,186.0517241,9.483492063,1017.298577
2018,Mozambique,4.654,7.162,0.738,54.2,0.897,0.049,0.691,0.64,0.397,-25.891968,32.605135,23.6228022,18.1527972,30.14245614,124.875,15.00940594,1017.507784
2018,Netherlands,7.463,10.941,0.939,72.3,0.92,0.161,0.371,0.862,0.205,52.370216,4.895168,11.1239011,7.497527473,14.725,172.6978022,17.33461538,1015.226374
2018,New Zealand,7.37,10.66,0.954,73.2,0.949,0.12,0.207,0.845,0.168,-41.28646,174.776236,14.09450549,11.5698895,16.75812672,154.4705882,24.37927171,1013.162121
2018,Nicaragua,5.819,8.647,0.854,67.5,0.797,0.009,0.713,0.793,0.408,12.114993,-86.236174,27.33342466,22.85333333,32.39866667,110.4741036,14.55578231,1010.564481
2018,Niger,5.164,7.087,0.612,53.5,0.791,0.009,0.637,0.771,0.503,13.511596,2.125385,31.16438356,24.76798867,37.81404494,161.8875,11.90757576,1010.909609
2018,Norway,7.444,11.056,0.966,73.2,0.96,0.094,0.268,0.827,0.212,59.913869,10.752245,7.897260274,4.044109589,12.12136986,131.7280453,10.18163842,1014.050824
2018,Panama,6.281,10.343,0.904,69.6,0.861,-0.131,0.837,0.884,0.223,9.101179,-79.402864,26.48475073,22.78123167,31.0398827,240.5672515,8.14011976,1009.705128
2018,Peru,5.68,9.456,0.845,68.1,0.83,-0.178,0.906,0.809,0.38,-12.046374,-77.042793,19.12547945,17.14404432,22.36309859,183.8118081,13.02255193,1014.606098
2018,Philippines,5.869,9.05,0.846,61.9,0.918,-0.108,0.726,0.773,0.393,14.599512,120.98422,28.09452055,25.08214286,31.37424658,135.0990099,10.33549296,1009.727303
2018,Poland,6.111,10.366,0.863,69.3,0.87,-0.254,0.72,0.742,0.176,52.229676,21.012229,10.8909589,6.438567493,15.04395604,175.965616,12.42672176,1016.534711
2018,Portugal,5.92,10.434,0.887,72.4,0.877,-0.261,0.88,0.679,0.318,38.722252,-9.139337,17.12986301,13.6569863,21.14164384,233.4966216,13.77513812,1015.720117
2018,Romania,6.151,10.26,0.818,67.2,0.845,-0.217,0.921,0.735,0.298,44.426767,26.102538,13.13287671,8.586575342,18.53315068,141.785124,6.167857143,1017.157143
2018,Russia,5.514,10.191,0.909,64.3,0.729,-0.147,0.865,0.673,0.199,55.755826,37.6173,6.953802817,3.184383562,11.30630137,189.4090909,14.60873239,0
2018,Senegal,4.769,8.106,0.739,59.6,0.629,-0.074,0.805,0.714,0.247,14.764504,-17.366029,23.59013699,21.49871383,27.17109635,181.0706522,13.69569892,1012.499444
2018,Serbia,5.936,9.762,0.853,68.2,0.74,-0.1,0.864,0.559,0.296,44.786568,20.448922,14.80794521,10.8569863,19.54821918,185.5467422,8.396143251,1016.006034
2018,Sierra Leone,4.306,7.417,0.65,50.8,0.716,0.095,0.856,0.552,0.466,8.465677,-13.231722,27.03052326,23.65670732,29.99207317,235.1509434,9.083536585,1011.668902
2018,Singapore,6.375,11.49,0.903,76.8,0.916,-0.066,0.097,0.787,0.107,1.280095,103.850949,28.17452055,25.81616438,31.60849315,134.69279,10.18791209,1009.393714
2018,Slovakia,6.235,10.376,0.922,68.9,0.758,-0.167,0.91,0.754,0.253,48.145892,17.107137,12.69615385,8.538186813,17.03159341,194.8557994,12.84368132,1016.778022
2018,Slovenia,6.249,10.546,0.941,71.1,0.942,-0.119,0.839,0.644,0.275,46.056947,14.505751,13.8890411,9.829315068,18.71835616,193.7653959,5.595821727,1017.008902
